"sisid","firstname","surname","gender","birthdate","email"
618343917,"Jennifer","Anderson","F","20060915","angelagreen@gmail.com"
347887288,"Megan","Huff","F","19320109","georgerebecca@gmail.com"
251357195,"Amber","Green","F","19820706","qaguilar@hotmail.com"
282164718,"Joshua","Alvarez","M","19260602","lpierce@yahoo.com"
986872346,"Reginald","Burke","M","19300502","aaronlarson@gmail.com"
489976557,"Stephen","Rodriguez","M","19501103","icross@hotmail.com"
582771128,"Rick","Curry","M","20101226","watsonmichael@gmail.com"
655895312,"Carol","Schroeder","F","20161123","veronicafreeman@gmail.com"
913383876,"Colleen","Gomez","F","19520628","rodriguezsarah@gmail.com"
795872135,"Anne","Rogers","F","20120628","mariacarpenter@hotmail.com"
565859897,"Veronica","Dixon","F","19281029","qroth@yahoo.com"
184524455,"Timothy","Salazar","M","19070828","khawkins@hotmail.com"
152438314,"Kenneth","Gibbs","M","20190407","heathersingh@yahoo.com"
393979827,"Anthony","Koch","M","20061127","shelbymcdonald@yahoo.com"
584624684,"Sherry","Myers","F","19890930","yatesfrances@yahoo.com"
128629568,"Melissa","Steele","F","19340714","cjackson@yahoo.com"
518838965,"Tracey","Mcclure","F","19360910","laura00@yahoo.com"
335541716,"Jamie","Herrera","F","19910816","millerveronica@hotmail.com"
538129391,"Lauren","Tapia","F","19640420","emily81@hotmail.com"
957874366,"Paul","Smith","M","19220823","loganmelanie@yahoo.com"
273961194,"Wanda","Banks","F","19790718","juliawilliams@hotmail.com"
833373537,"Michele","Jackson","F","19650419","elizabethcarter@hotmail.com"
728267453,"Brenda","Edwards","F","19571229","dennisnicole@yahoo.com"
399624273,"Charles","Kim","M","19750117","richardscaroline@hotmail.com"
538824746,"Christopher","Hawkins","M","20090815","oclark@gmail.com"
322771226,"Thomas","Kerr","M","19440903","benjamindavis@gmail.com"
731771828,"Kathryn","Sanchez","F","19330701","ywilliams@gmail.com"
552364169,"Brittany","Brown","F","19821218","iali@yahoo.com"
466547458,"Catherine","Ward","F","20030109","amy10@hotmail.com"
173891584,"Matthew","Santos","M","19460512","hufftimothy@hotmail.com"
532436833,"Lori","Novak","F","20001225","howardnatalie@gmail.com"
999948113,"Jason","Torres","M","19160118","bking@yahoo.com"
532785178,"Jon","Oneal","M","19720202","david28@hotmail.com"
146154445,"Christopher","Schmidt","M","19680626","sarah04@hotmail.com"
